ID,Pret mp,Pret,Localitate,TURDA,CAMPIA TURZII,GILAU,GHERLA,DEJ,MUNTELE CACOVEI,FELEACU,MOCIU,AGHIRESU, HUEDIN,JUCU DE MIJLOC,JUC-HERGHELIE,CHINTENI,AGHIRESU-FABRICI,AGHIRESU2,AGHIRESU3,Cartier sursa,cartier trimmed,Cartier recodat,Objectid 1 (Recodat),Object ID (Una noua),Camere,Suprafata utila,Suprafata construita,Compartimentare,Decomandat,Nedecomandat,Semidecomandat,Etaj,Demisol,Parter,Etaj 1,Etaj 2,Etaj 3,Etaj 4,Etaj 5,Etaj 6,Etaj 7,Etaj 8,Etaj 9,Etaj 10,Etaj 11,Etaj 12,Etaj 13,Etaj 14,Etaj 15,Mansarda,Etaj 22,Total etaje bloc,Stadiul constructiei,Finalizat,In constructie,Proiect,Bai,Loc de parcare,Tipul incalzirii,Centrala,Termoficare,Confort,Confort 1,Confort 2,Confort 3,Lux,Data constructiei,Tip vanzator,Comision,Tip vanzator2,Agentie,Dezvoltator,BancŽŸ,Tip apartament,Electricitate,Canal,Apa,Gaz,Parchet,Termopan,Balcon,Mobilat,Internet,Interfon,Lift,Aer conditionat,Sistem alarma,Terasa,Dressing,Gradina,Debara,Piscina,Semineu,Sauna,Boxa,Jaluzele,Latitudine,Longitudine,Distanta fata de centru,DFDC,Post date intermediar,Data achizitie date,SIRINF,SIRSUP
3656,2109,135000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Marasti,Marasti,GHEORGHENI,91,86,2,64,64,Decomandat,1,0,0,Etaj 3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,Confort I,1,0,0,0,2011,Agentie,0,Agentie,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7761482,23.6174813,0.029375442,2.9375442,29.03.2021,2021-03-29-20:35,54984,54975
3657,2372,111500,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CENTRU,0,CENTRU,101,101,2,47,56,Decomandat,1,0,0,Etaj 4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Finalizat,1,0,0,1,0,Centrala proprie,1,0,Confort I,1,0,0,0,0,Agentie,1,Agentie,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,46.7761605,23.5958589,0.009501791,0.9501791,28.03.2021,2021-03-29-08:22,54984,54975
3658,2063,49500,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Marasti,Marasti,GHEORGHENI,91,86,1,24,24,Semidecomandat,0,0,1,Etaj 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Finalizat,1,0,0,1,0,Centrala proprie,1,0,Confort I,1,0,0,0,1980,Agentie,1,Agentie,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7761789,23.6197541,0.031604536,3.1604536,29.03.2021,2021-03-29-08:44,54984,54975
3659,1875,120000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CENTRU,0,CENTRU,101,101,3,64,0,Semidecomandat,0,0,1,Etaj 6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,Centrala proprie,1,0,Confort I,1,0,0,0,0,Agentie,1,Agentie,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7761912,23.5953558,0.009155651,0.9155651,27.03.2021,2021-03-29-10:45,54984,54975
3660,2039,210000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Intre Lacuri,Intre Lacuri,INTRE LACURI,83,83,3,103,135,Decomandat,1,0,0,Etaj 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Finalizat,1,0,0,2,1,Centrala proprie,1,0,Lux,0,0,0,1,2008,Agentie,1,Agentie,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46.7761913,23.6326898,0.044352714,4.4352714,28.03.2021,2021-03-29-09:45,54984,54975
3661,1877,138900,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Marasti,Marasti,MARASTI,86,86,3,74,91,Decomandat,1,0,0,Etaj 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Finalizat,1,0,0,1,2,Centrala proprie,1,0,Confort I,1,0,0,0,1978,Agentie,1,Agentie,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7761913,23.6123250,0.024377743,2.4377743,26.03.2021,2021-03-29-10:45,54984,54975
3662,1689,128400,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CENTRU,0,CENTRU,101,101,3,76,0,Semidecomandat,0,0,1,Etaj 3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,In constructie,0,1,0,1,1,0,0,0,0,0,0,0,0,2020,Agentie,1,Agentie,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7761972,23.5896686,0.006455899,0.6455899,17.03.2021,2021-03-29-13:40,54984,54975
3663,1831,119000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Intre Lacuri,Intre Lacuri,GHEORGHENI,91,83,2,65,74,Decomandat,1,0,0,Etaj 5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,Finalizat,1,0,0,2,1,Centrala proprie,1,0,Confort I,1,0,0,0,1980,Agentie,1,Agentie,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.7761974,23.6212633,0.033087650,3.3087650,25.03.2021,2021-03-29-11:15,54984,54975
3664,2299,167800,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GRUIA,0,GRUIA,85,85,3,73,78,Semidecomandat,0,0,1,Etaj 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,In constructie,0,1,0,1,1,Centrala proprie,1,0,Confort I,1,0,0,0,2020,Agentie,1,Agentie,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.7762036,23.5828154,0.008764789,0.8764789,28.03.2021,2021-03-29-09:40,54984,54975
3665,1462,190000,CLUJ-NAPOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, Gruia,Gruia,GRUIA,85,85,4,130,138,Semidecomandat,0,0,1,Etaj 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Finalizat,1,0,0,2,1,Centrala proprie,1,0,Lux,0,0,0,1,2018,Agentie,1,Agentie,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7762158,23.5644897,0.025142656,2.5142656,19.03.2021,2021-03-29-13:29,54984,54975
